Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum,profile_text
Indie.vc,https://www.indie.vc/,,,,,VC,,,"
Name: Indie.vc
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
IndieBio,https://indiebio.co/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: IndieBio
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
IndusAge Partners,http://www.indusage.com,,,,,VC,,,"
Name: IndusAge Partners
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Industry Ventures,https://www.industryventures.com/,"San Francisco, California, United States",USA,,,Other,,,"
Name: Industry Ventures
Type: Other
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
Infineon Technologies Japan,https://www.infineon.com/cms/en/,,Japan,,,Corporate VC,,,"
Name: Infineon Technologies Japan
Type: Corporate VC
Focus: nan
Stages: nan
Locations: Japan
Check Size: $nan to $nan
"
Infinite Road Capital,http://www.infiniteroadcapital.com/,,,,,VC,,,"
Name: Infinite Road Capital
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Infinity Group,http://www.infinity-equity.com/en/,,,"5. Growth,6. Pre-IPO",,VC,,,"
Name: Infinity Group
Type: VC
Focus: nan
Stages: 5. Growth,6. Pre-IPO
Locations: nan
Check Size: $nan to $nan
"
Infinity Ventures,http://www.infinityventures.com/main_eng,,Japan,,,VC,,,"
Name: Infinity Ventures
Type: VC
Focus: nan
Stages: nan
Locations: Japan
Check Size: $nan to $nan
"
Information Venture Partners,https://www.informationvp.com/,,,,,VC,,,"
Name: Information Venture Partners
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
ING Ventures,https://www.ing.com/About-us/ING-Ventures.htm,"Amsterdam, Noord-Holland, The Netherlands","USA,Israel,Canada,Netherlands",3. Early Revenue,,Corporate VC,"$250,000",,"
Name: ING Ventures
Type: Corporate VC
Focus: nan
Stages: 3. Early Revenue
Locations: USA,Israel,Canada,Netherlands
Check Size: $$250,000 to $nan
"
Inimiti,http://www.inimiti.net/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: Inimiti
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
Initial Capital,http://www.initial.vc/,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,,"
Name: Initial Capital
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue,4. Scaling
Locations: nan
Check Size: $nan to $nan
"
Initialized Capital,https://initialized.com/,"San Francisco, California, United States",USA,,,VC,,,"
Name: Initialized Capital
Type: VC
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
InMotion Ventures by Jaguar Land Rover,https://www.inmotionventures.com/,UK,"USA,Israel,Canada,UK",3. Early Revenue,,Corporate VC,,,"
Name: InMotion Ventures by Jaguar Land Rover
Type: Corporate VC
Focus: nan
Stages: 3. Early Revenue
Locations: USA,Israel,Canada,UK
Check Size: $nan to $nan
"
Inner Loop Capital,https://innerloopcap.com/,,,,,VC,,,"
Name: Inner Loop Capital
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
InnoCells by Banco Sabadell,https://www.innocells.io/en/,"Barcelona, Catalonia, Spain",Spain,,,Corporate VC,,,"
Name: InnoCells by Banco Sabadell
Type: Corporate VC
Focus: nan
Stages: nan
Locations: Spain
Check Size: $nan to $nan
"
Innodo Ventures,http://www.innodo.co.il/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: Innodo Ventures
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
Innogest Capital,http://www.innogestcapital.com/,Italy,"Italy,USA",3. Early Revenue,,VC,,,"
Name: Innogest Capital
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: Italy,USA
Check Size: $nan to $nan
"
Innogy Innovation Hub,https://innovationhub.innogy.com,"Essen, Nordrhein-Westfalen, Germany",Germany,,,Corporate VC,,,"
Name: Innogy Innovation Hub
Type: Corporate VC
Focus: nan
Stages: nan
Locations: Germany
Check Size: $nan to $nan
"
Innogy Ventures,https://www.innogy.ventures/#what-we-invest-in,"Essen, Nordrhein-Westfalen, Germany","USA,Israel,Canada,Germany","2. Prototype,3. Early Revenue",,Corporate VC,"$1,000,000",,"
Name: Innogy Ventures
Type: Corporate VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: USA,Israel,Canada,Germany
Check Size: $$1,000,000 to $nan
"
Innohub Capital,http://www.innohub.io/,China,"Australia,China",,,VC,,,"
Name: Innohub Capital
Type: VC
Focus: nan
Stages: nan
Locations: Australia,China
Check Size: $nan to $nan
"
InnoSpring,http://www.innospringus.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: InnoSpring
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
InnoSpring Seed Fund,http://www.innospringseedfund.com/,USA,"China,USA",,,VC,,,"
Name: InnoSpring Seed Fund
Type: VC
Focus: nan
Stages: nan
Locations: China,USA
Check Size: $nan to $nan
"
Innov8 Investments,https://www.innov8investments.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: Innov8 Investments
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
Innova Capital Partners,http://www.innovacapitalpartners.com/,,,,,VC,,,"
Name: Innova Capital Partners
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Innova Memphis,http://innovamemphis.com/,"Memphis, Tennessee, United States",USA,"2. Prototype,3. Early Revenue",,VC,,,"
Name: Innova Memphis
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: USA
Check Size: $nan to $nan
"
Innovacom,http://innovacom.com/,"9, rue de Téhéran F-75008 Paris France","France,Belgium,Austria,Germany,Italy,Spain,UK,Ireland,Luxembourg,Switzerland,Netherlands","3. Early Revenue,4. Scaling,2. Prototype","We invest in Deeptech, Hardware, Software",VC,"$1,000,000","$5,000,000","
Name: Innovacom
Type: VC
Focus: We invest in Deeptech, Hardware, Software
Stages: 3. Early Revenue,4. Scaling,2. Prototype
Locations: France,Belgium,Austria,Germany,Italy,Spain,UK,Ireland,Luxembourg,Switzerland,Netherlands
Check Size: $$1,000,000 to $$5,000,000
"
InnovaHealth Partners,https://www.innovahealthpartners.com/,USA,USA,,,VC,,,"
Name: InnovaHealth Partners
Type: VC
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
Innovate Mississippi,https://www.innovate.ms/,,,,,Angel network,,,"
Name: Innovate Mississippi
Type: Angel network
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Innovating Capital,http://innovating.capital,"New York, New York, United States",USA,,,Family office,,,"
Name: Innovating Capital
Type: Family office
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
Innovation Capital,https://www.innovationcapital.bg/,,UK,,,VC,,,"
Name: Innovation Capital
Type: VC
Focus: nan
Stages: nan
Locations: UK
Check Size: $nan to $nan
"
Innovation Catalyst,https://www.innovationcatalyst.us/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: Innovation Catalyst
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
Innovation Industries,https://www.innovationindustries.com/,"Pietersbergweg 285, Amsterdam, Noord-Holland 1105 BM, NL","Netherlands,Germany,Belgium,Switzerland,Australia,UK,Denmark","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO,2. Prototype",We invest in European Deep Tech startups & scaleups that have a strong IP position,VC,"$1,000,000","$30,000,000","
Name: Innovation Industries
Type: VC
Focus: We invest in European Deep Tech startups & scaleups that have a strong IP position
Stages: 3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO,2. Prototype
Locations: Netherlands,Germany,Belgium,Switzerland,Australia,UK,Denmark
Check Size: $$1,000,000 to $$30,000,000
"
Innovation Nest,https://www.innovationnest.co/,Ludwinowska 7/8 31-103 Krakow Poland,"Poland,Portugal,Spain,France,Denmark,Germany,UK,Estonia,Romania,Hungary",3. Early Revenue,"We invest in B2B Software companies across horizontal (sales, marketing, finance, hr) and vertical (logistics, ecommerce, services, horeca) markets with a live product and early revenue.",VC,"$300,000","$1,200,000","
Name: Innovation Nest
Type: VC
Focus: We invest in B2B Software companies across horizontal (sales, marketing, finance, hr) and vertical (logistics, ecommerce, services, horeca) markets with a live product and early revenue.
Stages: 3. Early Revenue
Locations: Poland,Portugal,Spain,France,Denmark,Germany,UK,Estonia,Romania,Hungary
Check Size: $$300,000 to $$1,200,000
"
Innovation Works,https://www.innovationworks.org/,USA,"USA,Israel,Canada",,,VC,,,"
Name: Innovation Works
Type: VC
Focus: nan
Stages: nan
Locations: USA,Israel,Canada
Check Size: $nan to $nan
"
InnovationEngine,https://www.innovation-engine.co.jp/e/index.html,,Japan,,,VC,,,"
Name: InnovationEngine
Type: VC
Focus: nan
Stages: nan
Locations: Japan
Check Size: $nan to $nan
"
Miraisozo,http://miraisozo.co.jp/,,Japan,,,VC,,,"
Name: Miraisozo
Type: VC
Focus: nan
Stages: nan
Locations: Japan
Check Size: $nan to $nan
"
Innovative Advisory Group,http://www.innovativewealth.com,"Lexington, Massachusetts, United States",USA,,,Family office,,,"
Name: Innovative Advisory Group
Type: Family office
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
Innovestor Ventures,http://www.innovestorgroup.com/,Finland,Finland,3. Early Revenue,,VC,,,"
Name: Innovestor Ventures
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: Finland
Check Size: $nan to $nan
"
InQvation,https://inqvation.dk/,"Erik Husfeldts Vej 7, Taastrup, 2630, DK","Denmark,Sweden,Norway,Finland,Germany,Estonia,Latvia","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in start-ups when we’re sure that our operational skill set, experience and network will bring an original vision to life. We don’t pick and choose specific industries but invest wholeheartedly in teams that believe in the change they bring. And we tend to be among the first institutional investors and like to lead – or co-lead – the early financing rounds.",VC,"$200,000","$1,500,000","
Name: InQvation
Type: VC
Focus: We invest in start-ups when we’re sure that our operational skill set, experience and network will bring an original vision to life. We don’t pick and choose specific industries but invest wholeheartedly in teams that believe in the change they bring. And we tend to be among the first institutional investors and like to lead – or co-lead – the early financing rounds.
Stages: 3. Early Revenue,2. Prototype,1. Idea or Patent
Locations: Denmark,Sweden,Norway,Finland,Germany,Estonia,Latvia
Check Size: $$200,000 to $$1,500,000
"
Inreach Ventures,http://www.inreachventures.com/,,,,,Other,,,"
Name: Inreach Ventures
Type: Other
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Insight Family Office,https://insightfamilyoffice.com,"New York, New York, United States",USA,,,Family office,,,"
Name: Insight Family Office
Type: Family office
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
Insight Partners,https://www.insightpartners.com/,"New York, New York, United States","USA,Israel,Canada,France","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in the fastest-growing software/recurring revenue businesses across the globe,VC,"$7,000,000","$700,000,000","
Name: Insight Partners
Type: VC
Focus: We invest in the fastest-growing software/recurring revenue businesses across the globe
Stages: 3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO
Locations: USA,Israel,Canada,France
Check Size: $$7,000,000 to $$700,000,000
"
Insignia Ventures,https://www.insignia.vc/,Singapore,Singapore,3. Early Revenue,,VC,,,"
Name: Insignia Ventures
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: Singapore
Check Size: $nan to $nan
"
InSite Partners,http://www.insitepartners.com/,,,,,VC,,,"
Name: InSite Partners
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Inspiration Ventures,https://www.inspirationvc.com/,,,,,VC,,,"
Name: Inspiration Ventures
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Insta Ventures,https://insta.vc/,Cyprus,"USA,Israel,Canada",3. Early Revenue,,VC,"$500,000",,"
Name: Insta Ventures
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: USA,Israel,Canada
Check Size: $$500,000 to $nan
"
Insurtech Capital,https://www.insurtechcapital.com/,Luxembourg,France,"3. Early Revenue,4. Scaling,5. Growth","We invest mainly in Insurtech, WealthTech, PropTech...",VC,"$100,000","$2,000,000","
Name: Insurtech Capital
Type: VC
Focus: We invest mainly in Insurtech, WealthTech, PropTech...
Stages: 3. Early Revenue,4. Scaling,5. Growth
Locations: France
Check Size: $$100,000 to $$2,000,000
"
Insurtech Gateway,https://insurtechgateway.com/,"32 Blackfriars Road, London, England SE1 8PB, GB","UK,USA,France,Germany,Spain,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage Insurtech companies. Insurtech Gateway is the only investor with its own FCA authorised incubator + fund. The fastest place to build and launch an insurtech idea. The Gateway Fund supports the portfolio post-incubation, as they enter a phase of rapid growth and scale-up, to Series A and beyond.",VC,"$50,000","$1,000,000","
Name: Insurtech Gateway
Type: VC
Focus: We invest in early-stage Insurtech companies. Insurtech Gateway is the only investor with its own FCA authorised incubator + fund. The fastest place to build and launch an insurtech idea. The Gateway Fund supports the portfolio post-incubation, as they enter a phase of rapid growth and scale-up, to Series A and beyond.
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling
Locations: UK,USA,France,Germany,Spain,Australia
Check Size: $$50,000 to $$1,000,000
"
InsurTech Israel,https://www.insurtechil.com,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: InsurTech Israel
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
IntangibleVC,https://www.intangiblevc.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: IntangibleVC
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
Intango Ventures,https://ventures.intango.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: Intango Ventures
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
Integra Holdings,http://www.integra-holdings.com,,,"5. Growth,6. Pre-IPO",,VC,,,"
Name: Integra Holdings
Type: VC
Focus: nan
Stages: 5. Growth,6. Pre-IPO
Locations: nan
Check Size: $nan to $nan
"
Integral Capital Partners,http://www.icp.com/,"Menlo Park, California, United States",USA,,,Other,,,"
Name: Integral Capital Partners
Type: Other
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
Intel Capital,http://www.intelcapital.com/,"Santa Clara, California, United States","USA,Israel,Canada,France","3. Early Revenue,4. Scaling",,Corporate VC,"$1,000,000",,"
Name: Intel Capital
Type: Corporate VC
Focus: nan
Stages: 3. Early Revenue,4. Scaling
Locations: USA,Israel,Canada,France
Check Size: $$1,000,000 to $nan
"
Interlace Ventures,https://interlaceventures.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: Interlace Ventures
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
Interlock Partners,https://interlock.vc/,,,,,VC,,,"
Name: Interlock Partners
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Intermountain Healthcare Innovation Fund,https://intermountainhealthcare.org/about/transforming-healthcare/innovation/business-development/ventures/innovations-fund/,,,,,Corporate VC,,,"
Name: Intermountain Healthcare Innovation Fund
Type: Corporate VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
International Accelerator,http://internationalaccelerator.com/,,,,,VC,,,"
Name: International Accelerator
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
InterNex Capital,http://internexcapital.com/,"New York, New York, United States",USA,,,Family office,,,"
Name: InterNex Capital
Type: Family office
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
Interplay Ventures,http://www.interplay.vc,,,,,VC,,,"
Name: Interplay Ventures
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Intersouth Partners,https://www.intersouth.com/,"Durham, North Carolina, United States",USA,,,Other,,,"
Name: Intersouth Partners
Type: Other
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
Interstellar Ventures,https://www.interstellar.ventures/,Germany,Germany,3. Early Revenue,,VC,,,"
Name: Interstellar Ventures
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: Germany
Check Size: $nan to $nan
"
Interwest Partners,https://www.interwest.com/,"Menlo Park, California, United States","USA,Israel,Canada",3. Early Revenue,,VC,,,"
Name: Interwest Partners
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: USA,Israel,Canada
Check Size: $nan to $nan
"
Intonation Ventures,https://www.intonationventures.com/,"447 Broadway 2FL, New York, NY, 10013, USA","USA,Canada,UK,China","2. Prototype,3. Early Revenue","We invest $25k-$250k in early-stage consumer startups in North America and China. At Intonation, we invest in products that bring people joy. We see the steady decline in the world's happiness index as one of our biggest challenges. We'd love to back teams and products that bring smiles back, either through facilitating authentic social connections, creating fun digital/IRL experiences, enabling easier content creation, or many more. If you are doing just that, please let us know - we'd love to chat!",VC,"$25,000","$250,000","
Name: Intonation Ventures
Type: VC
Focus: We invest $25k-$250k in early-stage consumer startups in North America and China. At Intonation, we invest in products that bring people joy. We see the steady decline in the world's happiness index as one of our biggest challenges. We'd love to back teams and products that bring smiles back, either through facilitating authentic social connections, creating fun digital/IRL experiences, enabling easier content creation, or many more. If you are doing just that, please let us know - we'd love to chat!
Stages: 2. Prototype,3. Early Revenue
Locations: USA,Canada,UK,China
Check Size: $$25,000 to $$250,000
"
Intudo Ventures,https://www.intudovc.com/,Indonesia,Indonesia,3. Early Revenue,,VC,,,"
Name: Intudo Ventures
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: Indonesia
Check Size: $nan to $nan
"
Intuition Fund,https://www.intuition.fund/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: Intuition Fund
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
InveN Capital,http://www.invencapital.cz/,Czech Republic,Czech Republic,,,VC,,,"
Name: InveN Capital
Type: VC
Focus: nan
Stages: nan
Locations: Czech Republic
Check Size: $nan to $nan
"
Invenshure,https://invenshure.com/,,,,,VC,,,"
Name: Invenshure
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
InVent by Intouch Holdings,http://www.inventvc.com,"Bangkok, Krung Thep, Thailand",Thailand,,,Corporate VC,,,"
Name: InVent by Intouch Holdings
Type: Corporate VC
Focus: nan
Stages: nan
Locations: Thailand
Check Size: $nan to $nan
"
Inventages by Nestlé,http://www.inventages.com/,Switzerland,"Israel,USA,Canada",3. Early Revenue,,Corporate VC,,,"
Name: Inventages by Nestlé
Type: Corporate VC
Focus: nan
Stages: 3. Early Revenue
Locations: Israel,USA,Canada
Check Size: $nan to $nan
"
Inventure,https://inventure.vc/,"Lapinlahdenkatu 16, Helsinki, Southern Finland FI","Finland,Norway,Denmark,Iceland,Latvia,Estonia,Lithuania","3. Early Revenue,4. Scaling","We invest in Seed and Series A throughout the Nordics and Baltics, with a portfolio ranging from deep tech companies like Blueprint Genetics and AImotive to consumer internet brands like Insurello, Swappie, and Wolt.",VC,"$400,000","$4,000,000","
Name: Inventure
Type: VC
Focus: We invest in Seed and Series A throughout the Nordics and Baltics, with a portfolio ranging from deep tech companies like Blueprint Genetics and AImotive to consumer internet brands like Insurello, Swappie, and Wolt.
Stages: 3. Early Revenue,4. Scaling
Locations: Finland,Norway,Denmark,Iceland,Latvia,Estonia,Lithuania
Check Size: $$400,000 to $$4,000,000
"
Inventus Capital Partners,https://inventuscap.com/,,India,,,Other,,,"
Name: Inventus Capital Partners
Type: Other
Focus: nan
Stages: nan
Locations: India
Check Size: $nan to $nan
"
InverSur Capital,http://scale.capital/,,,,,VC,,,"
Name: InverSur Capital
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Invesco,https://www.invesco.fr/fr,USA,"Canada,Israel,USA",,,VC,,,"
Name: Invesco
Type: VC
Focus: nan
Stages: nan
Locations: Canada,Israel,USA
Check Size: $nan to $nan
"
Invest Her Ventures,http://www.investherventures.com/,,,,,VC,,,"
Name: Invest Her Ventures
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Invest In Future,https://investinfuture.nl/en/,,Netherlands,,,VC,,,"
Name: Invest In Future
Type: VC
Focus: nan
Stages: nan
Locations: Netherlands
Check Size: $nan to $nan
"
Invest Nebraska,https://www.investnebraska.com/,,USA,,,Other,,,"
Name: Invest Nebraska
Type: Other
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
Invest PME,https://www.invest-pme.fr/,,France,,,Other,,,"
Name: Invest PME
Type: Other
Focus: nan
Stages: nan
Locations: France
Check Size: $nan to $nan
"
Investec Emerging Companies,https://www.investec.com/en_au/emerging-companies.html,Australia,"Australia,UK,Israel,India",,,VC,"$2,000,000",,"
Name: Investec Emerging Companies
Type: VC
Focus: nan
Stages: nan
Locations: Australia,UK,Israel,India
Check Size: $$2,000,000 to $nan
"
Investion,https://www.investion.net/,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,,"
Name: Investion
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: Netherlands
Check Size: $nan to $nan
"
Investir&+,http://fr.investiretplus.com/,"14, rue des Jeûneurs, 75002, Paris, France ","France,Spain","3. Early Revenue,4. Scaling","We invest in social or environmental impact projects: social, health, greentech and circular economy",VC,"$250,000","$1,000,000","
Name: Investir&+
Type: VC
Focus: We invest in social or environmental impact projects: social, health, greentech and circular economy
Stages: 3. Early Revenue,4. Scaling
Locations: France,Spain
Check Size: $$250,000 to $$1,000,000
"
Investomex,https://www.investovc.com/,,,"2. Prototype,3. Early Revenue",,VC,,,"
Name: Investomex
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: nan
Check Size: $nan to $nan
"
Investors Club FrenchFounders,https://www.frenchfounders.com/,"27 W 20th St., Suite 800, New York, New York 10011, US","USA,France,Canada,UK,Belgium,Netherlands,Germany,Switzerland,Italy,Spain,Portugal","3. Early Revenue,4. Scaling","We invest in pre-seed, seed, and Series A. ",Angel network,"$200,000","$1,500,000","
Name: Investors Club FrenchFounders
Type: Angel network
Focus: We invest in pre-seed, seed, and Series A. 
Stages: 3. Early Revenue,4. Scaling
Locations: USA,France,Canada,UK,Belgium,Netherlands,Germany,Switzerland,Italy,Spain,Portugal
Check Size: $$200,000 to $$1,500,000
"
Invoke Capital,http://www.invokecapital.com/,UK,UK,3. Early Revenue,,VC,,,"
Name: Invoke Capital
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: UK
Check Size: $nan to $nan
"
Invus,https://www.invus.com/,"New York, New York, United States",USA,,,Other,,,"
Name: Invus
Type: Other
Focus: nan
Stages: nan
Locations: USA
Check Size: $nan to $nan
"
ION Crossover Partners,https://www.ion-am.com/ioncrossoverpartners,,,"5. Growth,6. Pre-IPO",,VC,,,"
Name: ION Crossover Partners
Type: VC
Focus: nan
Stages: 5. Growth,6. Pre-IPO
Locations: nan
Check Size: $nan to $nan
"
IP Group,https://www.ipgroupplc.com/,UK,"USA,Canada,Australia,New Zealand,UK",3. Early Revenue,,VC,,,"
Name: IP Group
Type: VC
Focus: nan
Stages: 3. Early Revenue
Locations: USA,Canada,Australia,New Zealand,UK
Check Size: $nan to $nan
"
Iporanga Ventures,https://ipo.ventures/,"Rua Horacio Lafer 160 cj 52, CEP 04538-080, São Paulo/SP, Brazil",Brazil,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Brazilian pre-seed/seed stage startups developing sound products/solutions backed by superior technology teams.,VC,"$150,000","$1,000,000","
Name: Iporanga Ventures
Type: VC
Focus: We invest in Brazilian pre-seed/seed stage startups developing sound products/solutions backed by superior technology teams.
Stages: 1. Idea or Patent,2. Prototype,3. Early Revenue
Locations: Brazil
Check Size: $$150,000 to $$1,000,000
"
IPR.VC,https://ipr.vc/,,,,,Other,,,"
Name: IPR.VC
Type: Other
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Irdi Soridec,https://www.irdisoridec.fr/,,France,,,Other,,,"
Name: Irdi Soridec
Type: Other
Focus: nan
Stages: nan
Locations: France
Check Size: $nan to $nan
"
Iris Capital,https://www.iriscapital.com/en,"62 rue Pierre Charron, Paris, 75008, FR","USA,Israel,France,Germany","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in tech and digital startups that disrupt their industries across Europe and beyond, from seed (500k) to pre-IPO stages (up to 30m)",VC,"$500,000","$20,000,000","
Name: Iris Capital
Type: VC
Focus: We invest in tech and digital startups that disrupt their industries across Europe and beyond, from seed (500k) to pre-IPO stages (up to 30m)
Stages: 3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO
Locations: USA,Israel,France,Germany
Check Size: $$500,000 to $$20,000,000
"
IrishAngels,http://irishangels.com/,"415 N. LaSalle Dr. Suite 504, Chicago, IL 60654",USA,"2. Prototype,3. Early Revenue","We invest in US-based software, consumer products, and medical devices.",Angel network,"$150,000","$1,000,000","
Name: IrishAngels
Type: Angel network
Focus: We invest in US-based software, consumer products, and medical devices.
Stages: 2. Prototype,3. Early Revenue
Locations: USA
Check Size: $$150,000 to $$1,000,000
"
Iron Wolf Capital,https://www.ironwolfcapital.com/,,UK,,,VC,,,"
Name: Iron Wolf Capital
Type: VC
Focus: nan
Stages: nan
Locations: UK
Check Size: $nan to $nan
"
Ironfire Ventures​,http://www.ironfireventures.com/,,Hong Kong,,,VC,,,"
Name: Ironfire Ventures​
Type: VC
Focus: nan
Stages: nan
Locations: Hong Kong
Check Size: $nan to $nan
"
Iroquois Valley Farmland,https://iroquoisvalley.com/,,,,,Other,,,"
Name: Iroquois Valley Farmland
Type: Other
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
Isai,http://www.isai.vc/,"8 Avenue Kléber, 75116 Paris, FR",France,"3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent","We invest in digital startups (B2C & B2B) with at least one French founder in Europe and in the US, from Pre-Seed to Series-A",VC,"$100,000","$3,000,000","
Name: Isai
Type: VC
Focus: We invest in digital startups (B2C & B2B) with at least one French founder in Europe and in the US, from Pre-Seed to Series-A
Stages: 3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent
Locations: France
Check Size: $$100,000 to $$3,000,000
"
iSeed Ventures,http://www.iseedvc.com/,USA,"China,USA","2. Prototype,3. Early Revenue",,VC,,,"
Name: iSeed Ventures
Type: VC
Focus: nan
Stages: 2. Prototype,3. Early Revenue
Locations: China,USA
Check Size: $nan to $nan
"
ISGS Investment Works,https://isgs-iw.com/,Japan,Japan,,,VC,,,"
Name: ISGS Investment Works
Type: VC
Focus: nan
Stages: nan
Locations: Japan
Check Size: $nan to $nan
"
Isomer Capital,https://isomercapital.com/,,UK,,,VC,,,"
Name: Isomer Capital
Type: VC
Focus: nan
Stages: nan
Locations: UK
Check Size: $nan to $nan
"
iSource,http://www.isourcevc.com/,,,,,VC,,,"
Name: iSource
Type: VC
Focus: nan
Stages: nan
Locations: nan
Check Size: $nan to $nan
"
